"lake","site","laketype","date","chla_ugL_INT","NH4_mgL","pH","secchi_m","TN_mgm3","TP_mgm3","depth_m","method","TN_TP"
"Rotoehu","3","Polymictic",2014-11-17,9.1,0.022,8,2.75,240,25,"0.1","integrated",9.6
"Rotoiti","Okawa","Stratified",2014-11-17,7.7,0.008,7.5,2.9,322,38,"0.1","integrated",8.47368421052632
"Rotoiti","3","Stratified",2014-11-17,5.4,0.006,7.2,6.54888888888889,169,24,"0.1","integrated",7.04166666666667
"Okataina","1","Stratified",2014-11-17,1.8,0.001,7.7,10.225,110,13,"0.1","integrated",8.46153846153846
"Rotorua","5","Polymictic",2014-11-18,NA,NA,NA,4.4,NA,NA,"0.1","integrated",NA
"Rotorua","2","Polymictic",2014-11-18,NA,NA,NA,4.4,NA,NA,"0.1","integrated",NA
"Tikitapu","1","Stratified",2014-11-18,1.8,0.001,7.1,4.75,187,18,"0.1","integrated",10.3888888888889
"Okareka","1","Stratified",2014-11-18,1.7,0.002,7.8,11.9,154,7,"0.1","integrated",22
"Tarawera","5","Stratified",2014-11-18,0.6,0.001,7.9,11.5,76,27,"0.1","integrated",2.81481481481481
"Okaro","1","Stratified",2014-11-19,7.3,0.003,9,2.075,473,24,"0.1","integrated",19.7083333333333
"Rerewhakaaitu","1","Polymictic",2014-11-19,2.3,0.003,6.8,9.275,294,8,"0.1","integrated",36.75
"Okataina","1","Stratified",2014-11-19,1.6,0.001,7.6,10.15,103,12.5,"0.1","integrated",8.24
"Rotomahana","2","Stratified",2014-11-19,2,0.001,7.5,NA,153,54,"0.1","integrated",2.83333333333333
"Rotoma","1","Stratified",2014-12-15,0.6,0.002,7.2,11.8,103,5,"0.1","integrated",20.6
"Rotoehu","3","Polymictic",2014-12-15,9.25,0.019,7.95,2.15,268.5,32,"0.1","integrated",8.390625
"Rotoiti","Okawa","Stratified",2014-12-15,4.2,0.006,7.4,5.825,255,34,"0.1","integrated",7.5
"Rotoiti","3","Stratified",2014-12-15,4.9,0.001,7.5,6.44277777777778,181,20,"0.1","integrated",9.05
"Okataina","1","Stratified",2014-12-15,1.4,0.001,7.5,10.7,96,12,"0.1","integrated",8
"Rotorua","5","Polymictic",2014-12-16,NA,NA,NA,2.75,NA,NA,"0.1","integrated",NA
"Rotorua","2","Polymictic",2014-12-16,NA,NA,NA,2.85,NA,NA,"0.1","integrated",NA
"Tikitapu","1","Stratified",2014-12-16,2,0.003,7.4,4.2,178,3,"0.1","integrated",59.3333333333333
"Okareka","1","Stratified",2014-12-16,1.9,0.001,7.9,8.1,173,6,"0.1","integrated",28.8333333333333
"Rotoehu","3","Polymictic",2014-12-16,9.4,0.016,7.9,1.975,297,39,"0.1","integrated",7.61538461538461
"Tarawera","5","Stratified",2014-12-16,1.9,0.001,8.1,6,92,22,"0.1","integrated",4.18181818181818
"Okaro","1","Stratified",2014-12-17,11.7,0.001,8.3,2.1,522,26,"0.1","integrated",20.0769230769231
"Rerewhakaaitu","1","Polymictic",2014-12-17,2.2,0.004,7.4,6.1,354,10,"0.1","integrated",35.4
"Rotomahana","2","Stratified",2014-12-17,2.8,0.001,7.55,NA,176,57,"0.1","integrated",3.08771929824561
"Rotoma","1","Stratified",2015-01-19,0.7,0.001,7,12.425,117,8,"0.1","integrated",14.625
"Rotoehu","3","Polymictic",2015-01-19,11.7,0.0305,8.1,1.8,396,48,"0.1","integrated",8.25
"Rotoiti","Okawa","Stratified",2015-01-19,15.6,0.001,7.9,3,530,84,"0.1","integrated",6.30952380952381
"Rotoiti","3","Stratified",2015-01-19,9.4,0.001,7.2,6.33666666666667,217,20,"0.1","integrated",10.85
"Okataina","1","Stratified",2015-01-19,1.4,0.001,7.7,6.1,118,15,"0.1","integrated",7.86666666666667
"Rotorua","5","Polymictic",2015-01-20,NA,NA,NA,3.5,NA,NA,"0.1","integrated",NA
"Rotorua","2","Polymictic",2015-01-20,NA,NA,NA,3.73,NA,NA,"0.1","integrated",NA
"Tikitapu","1","Stratified",2015-01-20,1.2,0.001,7,5.45,176,3,"0.1","integrated",58.6666666666667
"Okareka","1","Stratified",2015-01-20,2.1,0.001,8.2,5.2,212,9,"0.1","integrated",23.5555555555556
"Rotoehu","3","Polymictic",2015-01-20,14,0.045,8.3,1.6,495,57,"0.1","integrated",8.68421052631579
"Tarawera","5","Stratified",2015-01-20,1.8,0.001,7.9,5.2,129,25,"0.1","integrated",5.16
"Okaro","1","Stratified",2015-01-21,23.1,0.004,9.5,0.85,900,27,"0.1","integrated",33.3333333333333
"Rerewhakaaitu","1","Polymictic",2015-01-21,3.8,0.002,7.3,4.45,340,9,"0.1","integrated",37.7777777777778
"Rotomahana","2","Stratified",2015-01-21,5.2,0.001,7.6,NA,185,58,"0.1","integrated",3.18965517241379
"Rotoma","1","Stratified",2015-02-16,0.6,0.006,6.8,13.05,115,8,"0.1","integrated",14.375
"Rotoehu","3","Polymictic",2015-02-16,16,0.039,8.1,1.4,528,60,"0.1","integrated",8.8
"Rotoiti","Okawa","Stratified",2015-02-16,7.4,0.001,8.7,2.74,285,33,"0.1","integrated",8.63636363636364
"Rotoiti","3","Stratified",2015-02-16,5.2,0.003,7.6,6.23055555555556,195,16,"0.1","integrated",12.1875
"Rotorua","5","Polymictic",2015-02-17,NA,NA,NA,2.5,NA,NA,"0.1","integrated",NA
"Rotorua","2","Polymictic",2015-02-17,NA,NA,NA,2.15,NA,NA,"0.1","integrated",NA
"Tikitapu","1","Stratified",2015-02-17,0.6,0.003,6.9,7.15,302,4,"0.1","integrated",75.5
"Okareka","1","Stratified",2015-02-17,1.6,0.002,8.2,2.9,295,9,"0.1","integrated",32.7777777777778
"Tarawera","5","Stratified",2015-02-17,1.1,0.001,7.7,6.9,112,24,"0.1","integrated",4.66666666666667
"Okaro","1","Stratified",2015-02-18,1.4,0.001,8.4,3.42,370,13,"0.1","integrated",28.4615384615385
"Rerewhakaaitu","1","Polymictic",2015-02-18,3.3,0.006,7.2,4.85,339,9,"0.1","integrated",37.6666666666667
"Rotomahana","2","Stratified",2015-02-18,2.6,0.001,7.6,NA,186,54,"0.1","integrated",3.44444444444444
"Rotorua","5","Polymictic",2015-03-16,NA,NA,NA,2.2,NA,NA,"0.1","integrated",NA
"Rotorua","2","Polymictic",2015-03-16,NA,NA,NA,2.3,NA,NA,"0.1","integrated",NA
"Tikitapu","1","Stratified",2015-03-16,0.9,0.002,7.05,8.45,233.5,3.5,"0.1","integrated",66.7142857142857
"Okareka","1","Stratified",2015-03-16,2,0.001,8.3,3.65,201,10,"0.1","integrated",20.1
"Tarawera","5","Stratified",2015-03-16,2.1,0.001,7.9,6.8,113,26,"0.1","integrated",4.34615384615385
"Tikitapu","1","Stratified",2015-03-17,1.2,0.001,7.2,8.275,165,3,"0.1","integrated",55
"Rotoma","1","Stratified",2015-03-17,1.1,0.001,7.4,13.3,111,7,"0.1","integrated",15.8571428571429
"Rotoehu","3","Polymictic",2015-03-17,19.85,0.021,8.2,1.55,530.5,62,"0.1","integrated",8.55645161290323
"Rotoiti","Okawa","Stratified",2015-03-17,117,0.005,7.4,5.85,2443,401,"0.1","integrated",6.09226932668329
"Rotoiti","3","Stratified",2015-03-17,5.9,0.001,7.8,6.12444444444444,192,16,"0.1","integrated",12
"Okataina","1","Stratified",2015-03-17,2.1,0.001,7.9,13,101,16,"0.1","integrated",6.3125
"Okaro","1","Stratified",2015-03-18,4.4,0.001,7.6,4.07,400,19,"0.1","integrated",21.0526315789474
"Rerewhakaaitu","1","Polymictic",2015-03-18,5.2,0.001,7.6,3.95,352,9,"0.1","integrated",39.1111111111111
"Rotoehu","3","Polymictic",2015-03-18,23.7,0.003,8.3,2.075,533,64,"0.1","integrated",8.328125
"Rotomahana","2","Stratified",2015-03-18,2.7,0.001,7.6,NA,185,56,"0.1","integrated",3.30357142857143
"Rotoma","1","Stratified",2015-04-13,1.2,0.001,7.1,13.2,123,7,"0.1","integrated",17.5714285714286
"Rotoehu","3","Polymictic",2015-04-13,15.2,0.022,8.05,2.6,463,54.5,"0.1","integrated",8.4954128440367
"Rotoiti","Okawa","Stratified",2015-04-13,4,0.001,7.4,3.3,223,17,"0.1","integrated",13.1176470588235
"Rotoiti","3","Stratified",2015-04-13,5.1,0.006,7.5,6.01833333333333,185,15,"0.1","integrated",12.3333333333333
"Okataina","1","Stratified",2015-04-13,2.2,0.001,7.8,13.02,98,14,"0.1","integrated",7
"Rotorua","5","Polymictic",2015-04-14,NA,NA,NA,2.85,NA,NA,"0.1","integrated",NA
"Rotorua","2","Polymictic",2015-04-14,NA,NA,NA,2.9,NA,NA,"0.1","integrated",NA
"Tikitapu","1","Stratified",2015-04-14,1.35,0.001,7.35,8.1,165.5,3,"0.1","integrated",55.1666666666667
"Okareka","1","Stratified",2015-04-14,2.2,0.001,8.1,4,197,11,"0.1","integrated",17.9090909090909
"Rotoehu","3","Polymictic",2015-04-14,6.7,0.041,7.8,2.35,393,45,"0.1","integrated",8.73333333333333
"Tarawera","5","Stratified",2015-04-14,2.5,0.001,8.1,7.8,109,24,"0.1","integrated",4.54166666666667
"Okaro","1","Stratified",2015-04-15,4.6,0.002,7.5,6.05,335,12,"0.1","integrated",27.9166666666667
"Tikitapu","1","Stratified",2015-04-15,1.5,0.001,7.5,7.45,166,3,"0.1","integrated",55.3333333333333
"Rerewhakaaitu","1","Polymictic",2015-04-15,3.9,0.003,7.3,6.3,331,8,"0.1","integrated",41.375
"Rotomahana","2","Stratified",2015-04-15,4.5,0.001,7.3,NA,179,58,"0.1","integrated",3.08620689655172
"Rotoma","1","Stratified",2015-05-18,1,0.002,6.9,13.7,124,7,"0.1","integrated",17.7142857142857
"Rotoehu","3","Polymictic",2015-05-18,9.65,0.022,7.95,2.1,388.5,41,"0.1","integrated",9.47560975609756
"Rotoiti","Okawa","Stratified",2015-05-18,1.9,0.004,7.3,3.65,241,14,"0.1","integrated",17.2142857142857
"Rotoiti","3","Stratified",2015-05-18,6.3,0.002,7.4,5.91222222222222,191,20,"0.1","integrated",9.55
"Okataina","1","Stratified",2015-05-18,1.5,0.001,7.5,12.5,95,16,"0.1","integrated",5.9375
"Rotorua","5","Polymictic",2015-05-19,NA,NA,NA,2.5,NA,NA,"0.1","integrated",NA
"Rotorua","2","Polymictic",2015-05-19,NA,NA,NA,2.4,NA,NA,"0.1","integrated",NA
"Tikitapu","1","Stratified",2015-05-19,1.8,0.002,7.4,6.8,137.5,4,"0.1","integrated",34.375
"Okareka","1","Stratified",2015-05-19,1.95,0.0015,7.85,4.65,163,10.5,"0.1","integrated",15.5238095238095
"Rotoehu","3","Polymictic",2015-05-19,12.6,0.003,8.1,2.5,384,37,"0.1","integrated",10.3783783783784
"Tarawera","5","Stratified",2015-05-19,1.3,0.004,7.8,10.3,95,16,"0.1","integrated",5.9375
"Okaro","1","Stratified",2015-05-20,5.1,0.161,7,7.15,583,25,"0.1","integrated",23.32
"Tikitapu","1","Stratified",2015-05-20,2.1,0.003,7.3,6.2,109,5,"0.1","integrated",21.8
"Okareka","1","Stratified",2015-05-20,1.7,0.002,7.6,3.825,129,10,"0.1","integrated",12.9
"Rerewhakaaitu","1","Polymictic",2015-05-20,1.8,0.004,7,8.55,328,8,"0.1","integrated",41
"Rotomahana","2","Stratified",2015-05-20,4.9,0.001,6.7,NA,194,62,"0.1","integrated",3.12903225806452
"Rotoma","1","Stratified",2015-06-15,1.5,0.004,7.4,13.8,54,6,"0.1","integrated",9
"Rotoehu","3","Polymictic",2015-06-15,9.25,0.0035,7.9,2.9,307,33.5,"0.1","integrated",9.16417910447761
"Rotoiti","Okawa","Stratified",2015-06-15,3.8,0.023,7.4,3.04,256,18,"0.1","integrated",14.2222222222222
"Rotoiti","3","Stratified",2015-06-15,9.7,0.007,7.3,5.80611111111111,188,36,"0.1","integrated",5.22222222222222
"Okataina","1","Stratified",2015-06-15,2.3,0.003,7.4,10.5,88,13,"0.1","integrated",6.76923076923077
"Rotorua","5","Polymictic",2015-06-16,NA,NA,NA,2.75,NA,NA,"0.1","integrated",NA
"Rotorua","2","Polymictic",2015-06-16,NA,NA,NA,2.65,NA,NA,"0.1","integrated",NA
"Okareka","1","Stratified",2015-06-16,1.9,0.007,7.4,3,150,12,"0.1","integrated",12.5
"Rotoehu","3","Polymictic",2015-06-16,5.9,0.004,7.7,3.1,230,30,"0.1","integrated",7.66666666666667
"Tarawera","5","Stratified",2015-06-16,1.6,0.001,7.7,10.1,54,20,"0.1","integrated",2.7
"Tikitapu","1","Stratified",2015-06-17,4.6,0.004,7.4,5.6,130,5,"0.1","integrated",26
"Okaro","1","Stratified",2015-06-22,4,0.556,6.9,7.35,920,64,"0.1","integrated",14.375
"Rerewhakaaitu","1","Polymictic",2015-06-22,2,0.003,7.4,8.275,270,7,"0.1","integrated",38.5714285714286
"Rotomahana","2","Stratified",2015-06-22,6.2,0.002,6.9,NA,239,66,"0.1","integrated",3.62121212121212
"Rotoma","1","Stratified",2015-07-20,1.3,0.003,7.26,12.45,94,8,"0.1","integrated",11.75
"Okataina","1","Stratified",2015-07-20,1.6,0.011,7.44,7.7,84,17,"0.1","integrated",4.94117647058824
"Rotorua","5","Polymictic",2015-07-21,8.5,0.006,6.96,2.7,275,21,"0.1","integrated",13.0952380952381
"Rotorua","2","Polymictic",2015-07-21,10.9,0.003,7.22,2.9,274,19,"0.1","integrated",14.4210526315789
"Rotoehu","3","Polymictic",2015-07-21,3.6,0.006,7.93,3.3,288,29,"0.1","integrated",9.93103448275862
"Rotoiti","4","Stratified",2015-07-21,11.7,0.002,7.32,5,176,41,"0.1","integrated",4.29268292682927
"Rotoiti","Okawa","Stratified",2015-07-21,6.6,0.002,7.47,4.3,200,18,"0.1","integrated",11.1111111111111
"Rotoiti","3","Stratified",2015-07-21,8,0.002,7.65,5.7,167,35,"0.1","integrated",4.77142857142857
"Tarawera","5","Stratified",2015-07-21,2.8,0.002,7.82,10.7,78,32,"0.1","integrated",2.4375
"Okaro","1","Stratified",2015-07-22,6.4,0.466,7.6,4.8,996,95,"0.1","integrated",10.4842105263158
"Tikitapu","1","Stratified",2015-07-22,4.6,0.003,7.35,5,178,6,"0.1","integrated",29.6666666666667
"Okareka","1","Stratified",2015-07-22,2.7,0.022,7.74,4.55,176,13,"0.1","integrated",13.5384615384615
"Rerewhakaaitu","1","Polymictic",2015-07-22,1.4,0.003,7.61,10.75,279,6,"0.1","integrated",46.5
"Rotomahana","2","Stratified",2015-07-22,4.4,0.002,7.14,8.1,181,58,"0.1","integrated",3.12068965517241
"Rerewhakaaitu","1","Polymictic",2015-08-16,2,0.004,7.45,7.8,306,8,"0.1","integrated",38.25
"Rotomahana","2","Stratified",2015-08-16,4.4,0.005,7.1,5.45,190,62,"0.1","integrated",3.06451612903226
"Rotoma","1","Stratified",2015-08-17,1.4,0.003,7.04,13.02,108,9,"0.1","integrated",12
"Rotoiti","4","Stratified",2015-08-17,3.2,0.002,7.26,8.1,156,32,"0.1","integrated",4.875
"Rotoiti","Okawa","Stratified",2015-08-17,6.6,0.002,7.46,3.25,289,25,"0.1","integrated",11.56
"Rotoiti","3","Stratified",2015-08-17,2.9,0.002,7.44,7.3,158,30,"0.1","integrated",5.26666666666667
"Okataina","1","Stratified",2015-08-17,4.3,0.002,7.26,8.15,95,18,"0.1","integrated",5.27777777777778
"Rotoehu","3","Polymictic",2015-08-18,5.3,0.003,7.85,3.5,228,24,"0.1","integrated",9.5
"Rotorua","5","Polymictic",2015-08-19,9.3,0.003,6.71,3,258,17,"0.1","integrated",15.1764705882353
"Rotorua","2","Polymictic",2015-08-19,8.5,0.004,6.69,2.8,265,17,"0.1","integrated",15.5882352941176
"Tikitapu","1","Stratified",2015-08-19,4.3,0.002,7.74,5,191,5,"0.1","integrated",38.2
"Okareka","1","Stratified",2015-08-19,3.8,0.003,7.74,5.1,198,13,"0.1","integrated",15.2307692307692
"Tarawera","5","Stratified",2015-08-19,1.5,0.002,7.68,9.4,69,32,"0.1","integrated",2.15625
"Rotoma","1","Stratified",2015-09-14,1.2,0.008,7.04,12.5,106,9,"0.1","integrated",11.7777777777778
"Rotoiti","4","Stratified",2015-09-14,4.4,0.002,7.29,6.7,148,30,"0.1","integrated",4.93333333333333
"Rotoiti","Okawa","Stratified",2015-09-14,5.9,0.004,7.59,4,252,29,"0.1","integrated",8.68965517241379
"Rotoiti","3","Stratified",2015-09-14,4.7,0.002,7.57,4.6,166,25,"0.1","integrated",6.64
"Okataina","1","Stratified",2015-09-14,3,0.002,7.29,10.075,84,14,"0.1","integrated",6
"Rotorua","5","Polymictic",2015-09-15,6.5,0.004,7.08,3.025,262,17,"0.1","integrated",15.4117647058824
"Rotorua","2","Polymictic",2015-09-15,7.6,0.006,7.5,3,306,17,"0.1","integrated",18
"Tikitapu","1","Stratified",2015-09-15,3.2,0.003,7.33,5.45,185,6,"0.1","integrated",30.8333333333333
"Okareka","1","Stratified",2015-09-15,1.7,0.004,7.6,9.35,175,11,"0.1","integrated",15.9090909090909
"Rotoehu","3","Polymictic",2015-09-15,5.4,0.002,7.88,3.2,260,26,"0.1","integrated",10
"Tarawera","5","Stratified",2015-09-15,0.6,0.002,7.64,11.3,84,26,"0.1","integrated",3.23076923076923
"Okaro","1","Stratified",2015-09-16,19.1,0.103,7.84,2.25,794,42,"0.1","integrated",18.9047619047619
"Rerewhakaaitu","1","Polymictic",2015-09-16,1.9,0.003,7.61,8.8,287,7,"0.1","integrated",41
"Rotomahana","2","Stratified",2015-09-16,8.5,0.002,7.41,5.1,171,58,"0.1","integrated",2.94827586206897
"Okaro","1","Stratified",2015-10-01,15.45,0.078,8.2025,2.4625,769,44,"0.1","integrated",17.4772727272727
"Okaro","1","Stratified",2015-10-08,11.8,0.053,8.565,2.675,744,68,"0.1","integrated",10.9411764705882
"Okaro","1","Stratified",2015-10-19,8.15,0.028,8.9275,2.8875,719,47,"0.1","integrated",15.2978723404255
"Rotoma","1","Stratified",2015-10-19,0.4,0.003,7.62,13,95,7,"0.1","integrated",13.5714285714286
"Rotoehu","3","Polymictic",2015-10-19,2.5,0.004,7.99,4.35,251,24,"0.1","integrated",10.4583333333333
"Rotoiti","4","Stratified",2015-10-19,1.7,0.002,7.33,7.15,154,26,"0.1","integrated",5.92307692307692
"Rotoiti","Okawa","Stratified",2015-10-19,2.2,0.003,7.51,4,208,26,"0.1","integrated",8
"Rotoiti","3","Stratified",2015-10-19,4.3,0.009,7.41,4.9,195,31,"0.1","integrated",6.29032258064516
"Okataina","1","Stratified",2015-10-19,1,0.002,7.63,12,74,13,"0.1","integrated",5.69230769230769
"Rotorua","5","Polymictic",2015-10-20,6.6,0.004,7.25,3.05,303,17,"0.1","integrated",17.8235294117647
"Rotorua","2","Polymictic",2015-10-20,7.2,0.004,7.63,2.85,289,16,"0.1","integrated",18.0625
"Tikitapu","1","Stratified",2015-10-20,2.1,0.006,4.46,5.45,209,5,"0.1","integrated",41.8
"Okareka","1","Stratified",2015-10-20,1.8,0.002,7.96,9.2,208,8,"0.1","integrated",26
"Tarawera","5","Stratified",2015-10-20,0.6,0.002,8.04,10.1,79,48,"0.1","integrated",1.64583333333333
"Rerewhakaaitu","1","Polymictic",2015-10-21,1.9,0.003,7.62,8.1,286,7,"0.1","integrated",40.8571428571429
"Rotomahana","2","Stratified",2015-10-21,5.5,0.002,7.61,2.55,183,68,"0.1","integrated",2.69117647058824
"Rotoma","1","Stratified",2015-11-16,0.8,0.002,7.05,14.95,101,7,"0.1","integrated",14.4285714285714
"Rotoiti","4","Stratified",2015-11-16,2.1,0.002,7.13,7.55,181,26,"0.1","integrated",6.96153846153846
"Rotoiti","Okawa","Stratified",2015-11-16,1,0.007,7.16,4,234,28,"0.1","integrated",8.35714285714286
"Rotoiti","3","Stratified",2015-11-16,2.8,0.005,7.12,6,134,15,"0.1","integrated",8.93333333333333
"Okataina","1","Stratified",2015-11-16,1.6,0.002,7.26,10.7,93,13,"0.1","integrated",7.15384615384615
"Rotorua","5","Polymictic",2015-11-17,5.4,0.013,6.85,3,284,16,"0.1","integrated",17.75
"Rotorua","2","Polymictic",2015-11-17,6.2,0.014,7.24,3.2,285,16,"0.1","integrated",17.8125
"Okareka","1","Stratified",2015-11-17,2.3,0.002,7.58,7.6,176,9,"0.1","integrated",19.5555555555556
"Rotoehu","3","Polymictic",2015-11-17,6.9,0.008,7.46,2.8,282,24,"0.1","integrated",11.75
"Tarawera","5","Stratified",2015-11-17,0.5,0.002,7.9,11.5,80,24,"0.1","integrated",3.33333333333333
"Okaro","1","Stratified",2015-11-18,4.5,0.003,9.29,3.1,694,29,"0.1","integrated",23.9310344827586
"Tikitapu","1","Stratified",2015-11-18,2.2,0.002,7.12,5.2,175,4,"0.1","integrated",43.75
"Rerewhakaaitu","1","Polymictic",2015-11-18,4.6,0.003,7.32,8.3,345,13,"0.1","integrated",26.5384615384615
"Rotomahana","2","Stratified",2015-11-18,1.8,0.002,7.89,4.35,174,57,"0.1","integrated",3.05263157894737
"Rotoma","1","Stratified",2015-12-14,0.8,0.002,7.66,7.85,103,7,"0.1","integrated",14.7142857142857
"Rotoehu","3","Polymictic",2015-12-14,12.6,0.008,7.75,2.7,330,28,"0.1","integrated",11.7857142857143
"Rotoiti","4","Stratified",2015-12-14,4.8,0.002,7.34,7.25,199,23,"0.1","integrated",8.65217391304348
"Rotoiti","Okawa","Stratified",2015-12-14,4.6,0.002,8.28,4,277,31,"0.1","integrated",8.93548387096774
"Rotoiti","3","Stratified",2015-12-14,6.3,0.047,7.4,5.3,215,33,"0.1","integrated",6.51515151515152
"Okataina","1","Stratified",2015-12-14,1.7,0.002,7.62,11.3,87,13,"0.1","integrated",6.69230769230769
"Rotorua","5","Polymictic",2015-12-15,13.5,0.016,6.46,2.6,323,18,"0.1","integrated",17.9444444444444
"Rotorua","2","Polymictic",2015-12-15,10.4,0.019,6.5,2.35,329,19,"0.1","integrated",17.3157894736842
"Tikitapu","1","Stratified",2015-12-15,1.4,0.002,7.27,6.35,198,5,"0.1","integrated",39.6
"Okareka","1","Stratified",2015-12-15,1.5,0.003,7.73,10.75,178,8,"0.1","integrated",22.25
"Tarawera","5","Stratified",2015-12-15,3.8,0.002,7.76,5.75,120,26,"0.1","integrated",4.61538461538461
"Rerewhakaaitu","1","Polymictic",2015-12-16,6.7,0,7.32,5.9,364,13,"0.1","integrated",28
"Rotomahana","2","Stratified",2015-12-16,7.7,0,7.79,3.25,197,60,"0.1","integrated",3.28333333333333
"Rotoma","1","Stratified",2016-01-19,0.8,0,7.56,14.55,105,8,"0.1","integrated",13.125
"Rotoiti","4","Stratified",2016-01-19,3.4,0.002,7.23,6.8,176,18,"0.1","integrated",9.77777777777778
"Rotoiti","Okawa","Stratified",2016-01-19,2.8,0.005,7.33,4.03333333333333,283,25,"0.1","integrated",11.32
"Rotoiti","3","Stratified",2016-01-19,6.7,0.004,7.71,5,234,22,"0.1","integrated",10.6363636363636
"Okataina","1","Stratified",2016-01-19,1.4,0.001,7.44,11.58,100,15,"0.1","integrated",6.66666666666667
"Rotorua","5","Polymictic",2016-01-20,6.9,0.003,6.62,2.85,280,19,"0.1","integrated",14.7368421052632
"Rotorua","2","Polymictic",2016-01-20,7.1,0.003,7.05,3,267,20,"0.1","integrated",13.35
"Tikitapu","1","Stratified",2016-01-20,1.4,0.002,7.3,5.7,183,5,"0.1","integrated",36.6
"Okareka","1","Stratified",2016-01-20,1.7,0.002,8.04,9,175,10,"0.1","integrated",17.5
"Rotoehu","3","Polymictic",2016-01-20,20.9,0.012,7.43,1.725,1804,43,"0.1","integrated",41.953488372093
"Tarawera","5","Stratified",2016-01-20,1.6,0.002,7.73,8.1,116,26,"0.1","integrated",4.46153846153846
"Okaro","1","Stratified",2016-01-21,1.9,0.002,7.53,4.3,427,16,"0.1","integrated",26.6875
"Rerewhakaaitu","1","Polymictic",2016-01-21,4.6,0.002,7.15,6.2,327,9,"0.1","integrated",36.3333333333333
"Rotomahana","2","Stratified",2016-01-21,2.4,0.002,7.47,3.75,187,56,"0.1","integrated",3.33928571428571
"Rerewhakaaitu","1","Polymictic",2016-02-12,2.7,0.01,7.55,5.55,391,9,"0.1","integrated",43.4444444444444
"Rotoma","1","Stratified",2016-02-15,0.7,0.004,7.48,16.05,103,6,"0.1","integrated",17.1666666666667
"Rotoiti","Okawa","Stratified",2016-02-15,8.4,0.004,7.54,4.06666666666667,245,22,"0.1","integrated",11.1363636363636
"Rotoiti","3","Stratified",2016-02-15,5.7,0.005,7.81,4,205,17,"0.1","integrated",12.0588235294118
"Okataina","1","Stratified",2016-02-15,1.3,0.003,7.89,15.5,87,12,"0.1","integrated",7.25
"Rotorua","5","Polymictic",2016-02-16,9.1,0.028,6.6,3.15,624,22,"0.1","integrated",28.3636363636364
"Rotorua","2","Polymictic",2016-02-16,11.3,0.012,6.73,3.2,386,28,"0.1","integrated",13.7857142857143
"Tikitapu","1","Stratified",2016-02-16,0.9,0.004,7.14,5.25,183,5,"0.1","integrated",36.6
"Okareka","1","Stratified",2016-02-16,1.8,0.003,8.42,9.4,199,9,"0.1","integrated",22.1111111111111
"Rotoehu","3","Polymictic",2016-02-16,9.3,0.003,8.77,2.95,493,35,"0.1","integrated",14.0857142857143
"Rotoiti","4","Stratified",2016-02-16,5.5,0.003,7.35,7.75,179,15,"0.1","integrated",11.9333333333333
"Tarawera","5","Stratified",2016-02-16,1.8,0.004,8.07,7.5,106,23,"0.1","integrated",4.60869565217391
"Rerewhakaaitu","1","Polymictic",2016-02-21,4,0.005,7.31,4.9,297,8,"0.1","integrated",37.125
"Rotomahana","2","Stratified",2016-02-21,2.1,0.002,7.84,5.8,167,56,"0.1","integrated",2.98214285714286
"Rotoma","1","Stratified",2016-03-14,0.6,0.002,7.52,16.2,103,6,"0.1","integrated",17.1666666666667
"Rotoehu","3","Polymictic",2016-03-14,27.5,0.002,8.41,1.65,559,62,"0.1","integrated",9.01612903225806
"Rotoiti","4","Stratified",2016-03-14,4.3,0.003,7.18,7.8,176,15,"0.1","integrated",11.7333333333333
"Rotoiti","Okawa","Stratified",2016-03-14,38.2,0.003,7.32,4.1,820,111,"0.1","integrated",7.38738738738739
"Rotoiti","3","Stratified",2016-03-14,14.1,0.002,7.52,6.5,187,17,"0.1","integrated",11
"Okataina","1","Stratified",2016-03-14,1.6,0.002,7.55,13.75,84,12,"0.1","integrated",7
"Rotorua","5","Polymictic",2016-03-15,23.4,0.002,7.1,1.9,379,36,"0.1","integrated",10.5277777777778
"Rotorua","2","Polymictic",2016-03-15,21.9,0.002,7.62,2,355,33,"0.1","integrated",10.7575757575758
"Tarawera","5","Stratified",2016-03-15,2,0.002,7.93,6.95,110,21,"0.1","integrated",5.23809523809524
"Okaro","1","Stratified",2016-03-16,2.8,0.003,7.56,2.55,377,18,"0.1","integrated",20.9444444444444
"Tikitapu","1","Stratified",2016-03-16,1.1,0.002,7.29,7.05,162,4,"0.1","integrated",40.5
"Okareka","1","Stratified",2016-03-16,2.6,0.002,8.02,6.95,172,9,"0.1","integrated",19.1111111111111
"Rerewhakaaitu","1","Polymictic",2016-03-16,3.8,0.012,7.13,5.75,306,11,"0.1","integrated",27.8181818181818
"Rotomahana","2","Stratified",2016-03-16,3.7,0.002,7.53,5.85,162,45,"0.1","integrated",3.6
"Okaro","1","Stratified",2016-04-01,3.26,0.011,7.468,3.04,396.6,17,"0.1","integrated",23.3294117647059
"Okaro","1","Stratified",2016-04-04,3.72,0.019,7.376,3.53,416.2,15,"0.1","integrated",27.7466666666667
"Okaro","1","Stratified",2016-04-10,4.18,0.027,7.284,4.02,435.8,15,"0.1","integrated",29.0533333333333
"Rotoma","1","Stratified",2016-04-17,1,0.008,7.2,14.9,105,8,"0.1","integrated",13.125
